;t;T1;T2;T;p
277;408.4687743;303.876122;359.1876114;303.876122;5
278;409.8905724;303.876122;359.2044999;303.876122;5
279;411.309402;303.876122;359.2044999;303.876122;5
280;412.730852;303.8796635;359.1538681;303.8796635;5
281;414.1532626;303.8832055;359.2383108;303.8832055;5
282;415.5704419;303.8849766;359.2044999;303.8849766;5
283;417.000061;303.8814344;359.8547611;303.8814344;5
284;418.4222587;303.8920626;359.1876114;303.8920626;5
285;419.856141;303.8902909;359.2044999;303.8902909;5
286;421.294661;303.9009228;359.1707341;303.9009228;5
287;422.725311;303.8938344;359.1876114;303.8938344;5
288;424.1483342;303.8973783;359.1876114;303.8973783;5
289;425.5865864;303.9026952;359.2383108;303.9026952;5
290;427.0023284;303.8991505;359.1707341;303.8991505;5
291;428.420902;303.9026952;359.1876114;303.9026952;5
292;429.839699;303.9044678;359.1707341;303.9044678;5
293;431.2544518;303.9097862;359.1876114;303.9097862;5
294;432.6739712;303.9115592;359.1707341;303.9115592;5
295;434.0944052;303.9168791;359.2044999;303.9168791;5
296;435.5128707;303.9168791;359.2044999;303.9168791;5
297;436.9321135;303.94172;359.1876114;303.94172;5
298;438.3709705;303.9275222;359.1707341;303.9275222;5
299;439.794644;303.9310709;359.1876114;303.9310709;5
300;441.2395835;303.9328454;359.2044999;303.9328454;5
301;442.6551811;303.9363949;359.2044999;303.9363949;5
302;444.0816243;303.9399448;359.2044999;303.9399448;5
303;445.5098234;303.94172;359.2044999;303.94172;5
304;446.9339765;303.9470462;359.2044999;303.9470462;5
305;448.3551372;303.9523736;359.2044999;303.9523736;5
306;449.773533;303.9577021;359.1876114;303.9577021;5
307;451.1974945;303.9594785;359.1876114;303.9594785;5
308;452.6192758;303.9630317;359.2213997;303.9630317;5
309;454.0569481;303.9701396;359.2044999;303.9701396;5
310;455.4786208;303.9719169;359.1876114;303.9719169;5
311;456.9026007;303.9772495;359.2044999;303.9772495;5
312;458.3166723;303.9825832;359.1876114;303.9825832;5
313;459.7416446;303.9843614;359.1707341;303.9843614;5
314;461.1636203;303.9896966;359.1707341;303.9896966;5
315;462.5784525;303.9985912;359.2044999;303.9985912;5
316;464.0015746;303.995033;359.1876114;303.995033;5
317;465.4242362;304.0003705;359.1707341;304.0003705;5
318;466.8476489;304.0092688;359.1538681;304.0092688;5
319;468.262928;304.0163898;359.1707341;304.0163898;5
320;469.6870696;304.0181703;359.1707341;304.0181703;5
321;471.1138518;304.0181703;359.1707341;304.0181703;5
322;472.5364188;304.0270749;359.1538681;304.0270749;5
323;473.9595593;304.0342009;359.1707341;304.0342009;5
324;475.3784931;304.0324192;359.1370134;304.0324192;5
325;476.8008868;304.0395467;359.1707341;304.0395467;5
