;t;T1;T2;T;p
275;65.1996718;303.632952;339.7653028;303.632952;5
276;65.4385391;307.7080588;339.7264225;307.7080588;5
277;65.6774542;305.9625685;375.6001536;305.9625685;5
278;65.9115775;305.9856565;375.471748;305.9856565;5
279;66.1470549;306.0241834;331.2892848;306.0241834;5
280;66.3831116;307.829929;375.4397471;307.829929;5
281;66.621347;307.8693007;375.5679916;307.8693007;5
282;66.8544057;310.9438662;375.503789;310.9438662;5
283;67.093054;310.979018;375.471748;310.979018;5
284;67.3283463;306.1614302;331.305855;306.1614302;5
285;67.5655126;306.2002262;348.9153026;306.2002262;5
286;67.7946924;303.94172;375.3758654;303.94172;5
287;68.029517;303.9683624;375.503789;303.9683624;5
288;68.2638944;311.1673235;339.7264225;311.1673235;5
289;68.5042518;311.2051533;339.7653028;311.2051533;5
290;68.7292693;306.3599157;348.9040759;306.3599157;5
291;68.9660437;306.3814144;331.1900975;306.3814144;5
292;69.1997103;304.096639;375.471748;304.096639;5
293;69.4333618;308.2580015;339.7575219;308.2580015;5
294;69.6709578;311.3927715;375.6001536;311.3927715;5
295;69.9067879;306.4793671;375.4077863;306.4793671;5
296;70.136019;311.447657;348.9490131;311.447657;5
297;70.3721854;311.4883011;348.9377713;311.4883011;5
298;70.6074398;308.4143229;375.5358701;308.4143229;5
299;70.844068;311.5625854;375.3758654;311.5625854;5
300;71.0795753;311.581791;375.5358701;311.581791;5
301;71.3140957;311.6370884;375.503789;311.6370884;5
302;71.5507008;311.6659872;348.9490131;311.6659872;5
303;71.7815308;308.5673524;375.5679916;308.5673524;5
304;72.0151772;308.6036199;375.5358701;308.6036199;5
305;72.2535614;311.7770727;375.5679916;311.7770727;5
306;72.4857775;306.8351741;339.7419673;306.8351741;5
307;72.719697;306.8610662;331.4166096;306.8610662;5
308;72.9608097;306.9009522;331.327966;306.9009522;5
309;73.1910915;304.5599049;339.8510545;304.5599049;5
310;73.4222208;304.5926723;339.8823105;304.5926723;5
311;73.658425;306.9949327;339.7575219;306.9949327;5
312;73.8987623;307.0009433;339.8979533;307.0009433;5
313;74.1270832;307.0350307;331.1571239;307.0350307;5
314;74.3656667;307.079212;331.2121045;307.079212;5
315;74.5918681;304.6912304;339.7653028;304.6912304;5
316;74.8262051;308.9648529;375.6001536;308.9648529;5
317;75.0607051;312.1992709;339.695362;312.1992709;5
318;75.3018085;307.167807;375.6001536;307.167807;5
319;75.5335639;312.2756746;348.971512;312.2756746;5
320;75.7688998;312.32509;348.9153026;312.32509;5
321;76.0045988;309.1321582;375.5358701;309.1321582;5
322;76.2401793;304.8637176;375.6001536;304.8637176;5
323;76.4753769;312.4093182;375.6645991;312.4093182;5
324;76.7091047;312.4540233;339.7031235;312.4540233;5
325;76.9438097;312.5062792;348.8928542;312.5062792;5
326;77.1789343;307.3906626;339.7031235;307.3906626;5
327;77.4164336;304.9781339;339.7730862;304.9781339;5
328;77.6537978;307.4354705;339.7730862;307.4354705;5
329;77.8917081;307.4824001;339.796451;307.4824001;5
330;78.1244271;307.494657;348.8704257;307.494657;5
331;78.3652332;307.2567136;348.9153026;307.2567136;5
332;78.5973327;305.1228173;339.780872;305.1228173;5
333;78.83319;305.139565;375.6001536;305.139565;5
334;79.0704633;312.8296686;339.7575219;312.8296686;5
335;79.3083618;307.6380944;375.632356;307.6380944;5
336;79.5435106;312.8953511;348.8928542;312.8953511;5
337;79.7811677;312.9231913;375.6001536;312.9231913;5
338;80.0182009;309.6563924;375.632356;309.6563924;5
339;80.2549668;307.7451773;375.6968829;307.7451773;5
340;80.4931218;313.024687;375.6001536;313.024687;5
341;80.7244346;313.0603069;331.1516326;313.0603069;5
342;80.9659129;313.0603069;348.9040759;313.0603069;5
343;81.1928068;309.8037131;375.7292075;309.8037131;5
344;81.4279146;305.4335201;375.5679916;305.4335201;5
345;81.6607188;313.2058504;337.5483104;313.2058504;5
346;81.8984654;307.9440682;339.7341937;307.9440682;5
347;82.1297058;307.9773693;331.1187105;307.9773693;5
348;82.3673737;307.9961205;331.1022661;307.9961205;5
349;82.5952297;305.5373125;339.780872;305.5373125;5
350;82.8293408;305.5600149;339.7653028;305.5600149;5
351;83.0656687;308.0963623;339.7108874;308.0963623;5
352;83.3039908;308.1193905;339.7886603;308.1193905;5
353;83.5359701;308.1508263;331.0475305;308.1508263;5
354;83.7690148;308.1697066;331.0420636;308.1697066;5
355;84.0025797;305.6681308;339.7341937;305.6681308;5
356;84.2380554;310.1962671;375.632356;310.1962671;5
357;84.4733582;313.6137165;375.248579;313.6137165;5
358;84.7113708;313.6527817;375.5679916;313.6527817;5
359;84.9456728;313.6658169;348.9040759;313.6658169;5
360;85.1819922;310.3102058;375.5679916;310.3102058;5
361;85.4179483;310.3422008;375.6001536;310.3422008;5
362;85.6545824;308.3191475;375.6001536;308.3191475;5
363;85.8941293;313.8280127;375.6001536;313.8280127;5
364;86.1258711;313.8516439;348.859219;313.8516439;5
365;86.3649428;313.8779266;348.994031;313.8779266;5
366;86.5943595;310.4935817;375.7292075;310.4935817;5
367;86.8316409;310.5304169;375.471748;310.5304169;5
368;87.0697054;314.0467854;375.6645991;314.0467854;5
369;87.3077513;314.0361986;375.6968829;314.0361986;5
370;87.5363357;314.0679721;348.971512;314.0679721;5
371;87.7702906;314.0997855;348.982769;314.0997855;5
372;88.0045386;310.6806137;375.632356;310.6806137;5
373;88.2404009;310.7223648;375.7292075;310.7223648;5
374;88.4781402;314.2061199;375.761573;314.2061199;5
375;88.7130707;314.2301068;375.6645991;314.2301068;5
376;88.9548719;314.2621247;331.2616925;314.2621247;5
377;89.185613;310.841035;375.5679916;310.841035;5
378;89.4220644;306.3911926;375.632356;306.3911926;5
379;89.6579616;314.3637828;375.471748;314.3637828;5
380;89.8967234;314.4093939;375.7292075;314.4093939;5
381;90.1296411;314.4416395;349.0617098;314.4416395;5
382;90.3697011;314.5008634;349.0165703;314.5008634;5
383;90.6051739;311.0236138;339.5483531;311.0236138;5
384;90.8422459;314.5305273;375.6001536;314.5305273;5
385;91.0803519;314.5710342;339.5715072;314.5710342;5
386;91.3149296;309.0125416;339.8276383;309.0125416;5
387;91.5479678;309.1016566;331.3334969;309.1016566;5
388;91.7802114;306.6447872;339.8823105;306.6447872;5
389;92.016712;306.5954417;339.8744928;306.5954417;5
390;92.2526011;309.1801636;339.8588648;309.1801636;5
391;92.4829518;309.2020144;339.8666776;309.2020144;5
392;92.7165773;309.2457728;339.8666776;309.2457728;5
393;92.9514046;309.2654888;331.2341313;309.2654888;5
394;93.180553;306.6368854;339.8744928;306.6368854;5
395;93.4157299;306.6922496;339.8901306;306.6922496;5
396;93.6510621;314.9412851;375.632356;314.9412851;5
397;93.8874726;314.9714699;375.7292075;314.9714699;5
398;94.1221295;315.012689;349.0278476;315.012689;5
399;94.3621839;315.0457127;349.0052982;315.0457127;5
400;94.5934586;311.505056;375.6968829;311.505056;5
401;94.8302492;311.5362015;375.6645991;311.5362015;5
402;95.0675646;315.1422786;375.6001536;315.1422786;5
403;95.3073262;315.1754719;375.7292075;315.1754719;5
404;95.539518;315.2364395;349.0843101;315.2364395;5
405;95.7752593;315.2364395;349.1069307;315.2364395;5
406;96.0119861;306.9689031;339.796451;306.9689031;5
407;96.248725;309.6163624;339.8510545;309.6163624;5
408;96.4850443;309.6652965;339.9371033;309.6652965;5
409;96.7197133;309.6897991;339.8979533;309.6897991;5
410;96.961653;309.7098643;331.2616925;309.7098643;5
411;97.1922987;307.0510877;339.8432466;307.0510877;5
412;97.4239631;307.0772021;339.8666776;307.0772021;5
413;97.6587115;309.7925224;339.9057783;309.7925224;5
414;97.9019474;309.8037131;339.9057783;309.8037131;5
415;98.1296521;309.823869;331.1955974;309.823869;5
416;98.3664102;315.574411;349.0165703;315.574411;5
417;98.6008399;311.9909524;375.8914466;311.9909524;5
418;98.8362228;312.0251459;375.5679916;312.0251459;5
419;99.0704727;315.6984369;375.6001536;315.6984369;5
420;99.3067708;315.7493504;375.761573;315.7493504;5
421;99.5394067;315.7833497;349.0504173;315.7833497;5
422;99.7725759;315.8060413;349.0391299;315.8060413;5
423;100.0061949;312.1697571;375.6968829;312.1697571;5
424;100.2412661;315.8799297;375.7292075;315.8799297;5
425;100.4756676;315.9055568;375.6645991;315.9055568;5
426;100.7086293;310.073787;339.7575219;310.073787;5
427;100.942757;310.150835;331.2561778;310.150835;5
428;101.1785183;310.1780845;331.2672085;310.1780845;5
429;101.4117206;307.4701492;339.8588648;307.4701492;5
430;101.6467131;310.2212897;339.9057783;310.2212897;5
431;101.8793302;310.2531724;339.8744928;310.2531724;5
432;102.1141047;310.2736896;339.8666776;310.2736896;5
433;102.3515517;310.2828137;331.2286227;310.2828137;5
434;102.584219;307.5601274;339.8744928;307.5601274;5
435;102.8183602;307.5929263;339.8744928;307.5929263;5
436;103.0527642;316.2324318;375.761573;316.2324318;5
437;103.2920316;316.2844317;339.7419673;316.2844317;5
438;103.5240776;310.3879782;348.971512;310.3879782;5
439;103.764733;310.4040199;331.1571239;310.4040199;5
440;103.9931219;312.6236254;339.7264225;312.6236254;5
441;104.2289297;307.7224873;376.0547219;307.7224873;5
442;104.4660938;316.4556281;375.7292075;316.4556281;5
443;104.7064268;310.4981832;375.7292075;310.4981832;5
444;104.9370415;310.5373295;331.1132278;310.5373295;5
445;105.1738151;316.5606585;349.0730074;316.5606585;5
446;105.4093394;307.8030257;339.780872;307.8030257;5
447;105.6456475;316.6133375;339.796451;316.6133375;5
448;105.8805517;310.6481882;375.6968829;310.6481882;5
449;106.1172223;316.6866851;339.7730862;316.6866851;5
450;106.3581999;310.6852493;331.0913092;310.6852493;5
451;106.5830736;307.9315916;375.9240183;307.9315916;5
452;106.8139267;307.9440682;339.780872;307.9440682;5
453;107.0503529;310.7641849;375.8589163;310.7641849;5
454;107.2915764;310.8153923;375.8264273;310.8153923;5
455;107.5214373;310.8130625;331.074883;310.8130625;5
456;107.7626115;316.890234;348.994031;316.890234;5
457;107.9927356;313.0934275;339.6643403;313.0934275;5
458;108.2290551;313.1112796;339.6798463;313.1112796;5
